cell_id,CD3D,CD3E,TRAC,IL7R,CCR7,GZMB,NKG7,PDCD1,LAG3,MS4A1,CD79A,CD79B,BANK1,MZB1,XBP1,JCHAIN,LYZ,LST1,S100A8,S100A9,FCN1,IL1B,TNF,MKI67,TOP2A,STMN1,ACTB,GAPDH,RPLP0,B2M,MALAT1
Cell_0000,6,4,6,4,8,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
Cell_0001,3,9,5,3,4,2,0,2,0,0,0,0,1,0,1,0,0,0,0,1,2,0,2,0,0,0,0,2,3,2,0
Cell_0002,10,13,6,10,7,0,0,1,0,1,0,0,2,1,3,0,0,0,0,0,1,0,0,1,0,0,2,1,3,3,2
Cell_0003,9,8,6,12,8,1,0,1,0,1,0,1,0,0,0,0,2,0,1,0,1,0,1,0,2,2,2,3,2,1,3
Cell_0004,5,6,7,4,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,3,2,0,4
Cell_0005,1,6,3,2,5,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,1
Cell_0006,6,3,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1
Cell_0007,6,4,6,12,6,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,3,3,5,0
Cell_0008,5,3,9,6,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,0,1
Cell_0009,7,5,6,5,4,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0
Cell_0010,3,2,5,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,2,1
Cell_0011,3,3,5,3,6,1,1,1,0,1,0,2,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1,2,0,3,1
Cell_0012,7,5,10,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0
