cell_id,cell_type
Cell_0000,T_cell
Cell_0001,T_cell
Cell_0002,T_cell
Cell_0003,T_cell
Cell_0004,T_cell
Cell_0005,T_cell
Cell_0006,T_cell
Cell_0007,T_cell
Cell_0008,T_cell
Cell_0009,T_cell
Cell_0010,T_cell
Cell_0011,T_cell
Cell_0012,T_cell
Cell_0013,T_cell
Cell_0014,T_cell
Cell_0015,B_cell
Cell_0016,T_cell
Cell_0017,B_cell
Cell_0018,T_cell
Cell_0019,T_cell
Cell_0020,T_cell
Cell_0021,Monocyte
Cell_0022,T_cell
Cell_0023,Monocyte
Cell_0024,T_cell
Cell_0025,T_cell
Cell_0026,T_cell
Cell_0027,T_cell
Cell_0028,T_cell
Cell_0029,T_cell
Cell_0030,T_cell
Cell_0031,T_cell
Cell_0032,T_cell
Cell_0033,T_cell
Cell_0034,T_cell
Cell_0035,T_cell
Cell_0036,T_cell
Cell_0037,T_cell
Cell_0038,T_cell
Cell_0039,T_cell
Cell_0040,T_cell
Cell_0041,T_cell
Cell_0042,T_cell
Cell_0043,T_cell
Cell_0044,T_cell
Cell_0045,B_cell
Cell_0046,T_cell
Cell_0047,T_cell
Cell_0048,T_cell
Cell_0049,T_cell
Cell_0050,T_cell
Cell_0051,T_cell
Cell_0052,T_cell
Cell_0053,T_cell
Cell_0054,T_cell
Cell_0055,T_cell
Cell_0056,T_cell
Cell_0057,T_cell
Cell_0058,T_cell
Cell_0059,T_cell
Cell_0060,T_cell
Cell_0061,T_cell
Cell_0062,T_cell
Cell_0063,T_cell
Cell_0064,T_cell
Cell_0065,T_cell
Cell_0066,T_cell
Cell_0067,T_cell
Cell_0068,T_cell
Cell_0069,T_cell
Cell_0070,T_cell
Cell_0071,T_cell
Cell_0072,T_cell
Cell_0073,T_cell
Cell_0074,T_cell
Cell_0075,T_cell
Cell_0076,T_cell
Cell_0077,T_cell
Cell_0078,T_cell
Cell_0079,T_cell
Cell_0080,T_cell
Cell_0081,T_cell
Cell_0082,T_cell
Cell_0083,T_cell
Cell_0084,T_cell
Cell_0085,T_cell
Cell_0086,T_cell
Cell_0087,T_cell
Cell_0088,T_cell
Cell_0089,T_cell
Cell_0090,T_cell
Cell_0091,T_cell
Cell_0092,T_cell
Cell_0093,T_cell
Cell_0094,T_cell
Cell_0095,B_cell
Cell_0096,T_cell
Cell_0097,T_cell
Cell_0098,T_cell
Cell_0099,Monocyte
Cell_0100,T_cell
Cell_0101,T_cell
Cell_0102,T_cell
Cell_0103,T_cell
Cell_0104,T_cell
Cell_0105,T_cell
Cell_0106,Monocyte
Cell_0107,T_cell
Cell_0108,T_cell
Cell_0109,T_cell
Cell_0110,T_cell
Cell_0111,T_cell
Cell_0112,T_cell
Cell_0113,T_cell
Cell_0114,T_cell
Cell_0115,T_cell
Cell_0116,T_cell
Cell_0117,T_cell
Cell_0118,T_cell
Cell_0119,T_cell
Cell_0120,T_cell
Cell_0121,T_cell
Cell_0122,T_cell
Cell_0123,T_cell
Cell_0124,T_cell
Cell_0125,T_cell
Cell_0126,T_cell
Cell_0127,T_cell
Cell_0128,T_cell
Cell_0129,T_cell
Cell_0130,T_cell
Cell_0131,T_cell
Cell_0132,T_cell
Cell_0133,T_cell
Cell_0134,T_cell
Cell_0135,B_cell
Cell_0136,B_cell
Cell_0137,T_cell
Cell_0138,T_cell
Cell_0139,T_cell
Cell_0140,T_cell
Cell_0141,T_cell
Cell_0142,T_cell
Cell_0143,T_cell
Cell_0144,T_cell
Cell_0145,T_cell
Cell_0146,Monocyte
Cell_0147,T_cell
Cell_0148,T_cell
Cell_0149,T_cell
Cell_0150,T_cell
Cell_0151,T_cell
Cell_0152,T_cell
Cell_0153,T_cell
Cell_0154,T_cell
Cell_0155,T_cell
Cell_0156,T_cell
Cell_0157,B_cell
Cell_0158,T_cell
Cell_0159,T_cell
Cell_0160,T_cell
Cell_0161,T_cell
Cell_0162,T_cell
Cell_0163,T_cell
Cell_0164,T_cell
Cell_0165,T_cell
Cell_0166,T_cell
Cell_0167,T_cell
Cell_0168,T_cell
Cell_0169,T_cell
Cell_0170,T_cell
Cell_0171,T_cell
Cell_0172,T_cell
Cell_0173,T_cell
Cell_0174,T_cell
Cell_0175,T_cell
Cell_0176,T_cell
Cell_0177,T_cell
Cell_0178,T_cell
Cell_0179,T_cell
Cell_0180,T_cell
Cell_0181,T_cell
Cell_0182,T_cell
